ICD, description  
I25, Chronic ischaemic heart disease 
I25.0, Atherosclerotic cardiovascular disease so described 
I25.1, Atherosclerotic heart disease
I25.3, Aneurysm of heart
I25.4, Coronary artery aneurysm and dissection
I25.5, Ischaemic cardiomyopathy
I25.6, Silent myocardial ischaemia
I25.8, Other forms of chronic ischaemic heart disease
I25.9, Chronic ischaemic heart disease unspecified
